;avg latency (quantile 0.5);WorkerCount;denormalizedPredictedResponseTimeAdded0Worker;denormalizedPredictedResponseTimeAdded-1Worker;denormalizedPredictedResponseTimeAdded-2Worker;denormalizedPredictedResponseTimeAdded-3Worker;denormalizedPredictedResponseTimeAdded1Worker;denormalizedPredictedResponseTimeAdded2Worker;denormalizedPredictedResponseTimeAdded3Worker;denormalizedPredictedResponseTimeAdded4Worker;denormalizedPredictedResponseTimeAdded5Worker;advice;postScaledTargetVariable
1;735675.3183333335;3.0;1792198.0038551558;3870030.865788503;2004797.4277793996;3707380.742402741;3064341.5670828465;1603714.459596927;3846660.0439242274;1308051.7304360233;3905253.4972305195;-1;3870030.865788503
2;280211.30066666665;3.0;1648241.0572848166;4201660.4490661835;2632878.6091216602;3394366.394156399;3214194.7084704014;1915294.3437703298;3680455.8360210815;1340001.4949630124;3905244.006415399;-2;2632878.6091216602
3;723342.3489999998;4.0;2760781.7044282435;2869959.8363001626;2301315.0017983364;3592110.028077821;2580470.924424318;2309772.9071471626;3240107.4959643367;1915997.2664465911;3905252.80236681;-1;2869959.8363001626
5;661149.15225;4.0;1986736.472106337;4298128.852727303;1758875.9322654332;2936580.899571217;3300888.4571037022;1412187.510563706;3800812.148143882;1257560.7895868313;3905711.467829019;-2;1758875.9322654332
6;1369729.792;4.0;1354913.687610408;4191905.6262906035;2161923.0783608593;3100240.021817811;3139042.9699341045;1813387.301769721;3443054.716348735;1431620.617423702;3902795.1485070945;0;
7;2173549.57375;4.0;1125736.8835609842;4518275.357078347;1913074.9535483716;1329331.2751701756;3623624.8291744073;1360369.335873538;3818809.7222362137;1203707.6758075536;3912720.818899714;0;
8;2497540.93275;4.0;1917864.6544320604;2596324.090397352;1944119.502344108;1123814.2690564601;3599363.197832422;1815118.7895243615;3524364.6519856546;1362624.3609092513;3914250.5992428027;0;
9;2885125.2395;4.0;3513043.8065265133;2605497.8027056446;2875159.989145839;2985291.4542350154;2289458.889795927;3184819.6074275794;1738415.232004405;3856791.4782231017;1349597.4454058686;0;
10;2729371.138666666;4.0;3024819.3716182;3484517.539429451;2477278.9253114704;3095015.740289912;2609086.4190831715;2328343.542104791;3939751.382801695;3156884.8208185784;2260764.7601661417;0;
11;2936876.78575;4.0;3475531.7648972343;2289321.149138394;4081000.003951327;3040608.3472035155;2239148.208361767;3752336.608614883;1915171.869220975;3980275.6137892655;1325463.1796655522;0;
12;2684183.4140000003;5.0;2975019.420492655;2093689.5380074645;2988599.972700819;3530489.12946088;2779377.23562179;3431147.30595322;3323284.5918126036;2152686.031848086;3898343.6270009675;0;
13;3114623.1465;5.0;2634591.8720119633;2781877.185159828;4727694.214569021;1003378.6789738116;1848630.0934319114;4772692.1136980895;1110929.1491892317;5058920.365711881;218955.40751811198;0;
15;3791340.0766;5.0;2352737.879302914;2995678.302897319;576491.8476240941;3174861.887169408;3828118.4969683094;1059025.2950772285;5376597.957939552;-1249467.4913040143;6645188.21572572;0;
16;3745011.3632;5.0;1847100.3718313482;2745846.619858121;798991.695123432;2618342.008861816;4083610.192866963;1354403.333997658;3324976.5780481067;1733080.6637190324;2383712.1756029744;0;
17;3202666.82975;5.0;2165427.2573901927;2821514.675016387;1437289.0402977478;3248830.0764146117;3984242.9449404585;2398518.4781077043;5328675.241448629;2266487.4099108027;4594987.85775385;0;
18;3661555.0786;5.0;1400547.1619812949;4175092.354359969;36943.463314708475;4978374.365580458;4176770.8635511114;373002.5118903497;4429140.235046217;-1206450.9688887512;5301552.706154529;0;
19;3732927.0162;5.0;1330704.2037390112;4374002.891917008;915318.5211808647;4408438.850759947;3958884.2061308776;625009.2577897494;4123452.1101729744;490422.58425573556;4222404.767572921;0;
20;3308058.64525;5.0;2135235.9798721923;2167552.827006822;1446848.5907122549;1183014.4016298752;3269317.180103175;2501507.5549960732;1954773.9805834787;4622362.430331249;-38844.10621633397;0;
21;3204079.2066;6.0;2095225.151290297;2562000.2216997165;471144.95024425717;2783113.3850448863;3875138.5698340726;1189189.6700614737;4016816.1652961806;448573.9324921457;4375609.488510038;0;
22;3168636.1336;6.0;1447452.2418194467;1147523.334668225;2008902.6746939805;-511349.8109595423;2025665.6091199785;1965645.3918453224;1295366.4727199539;2306165.9342240435;1804988.802629763;0;
24;3101988.460833333;6.0;2289371.7436436145;2362841.5731213656;1302329.331395503;1911468.8786248988;3469982.086374997;2004054.4139221297;2095347.3999565584;1774699.584531487;1517469.8842136774;0;
25;2847592.4103999995;6.0;2511697.1908199694;1351348.0261530099;3199202.6943391543;259185.84583593506;2318401.5030687083;4520132.293953187;-940921.3045845368;6670214.64948857;-1543002.072529235;0;
26;2532118.3552;6.0;2928175.9742902317;1740706.3162452164;3612309.2899628873;1723633.8421362678;2581249.052214982;4402705.743059357;977426.741172477;5088950.327806647;-10411.51228618764;0;
27;2455762.776;6.0;2688218.7697448856;1865158.1209557846;2025235.191047858;2806282.3015960706;2782625.9429209055;2834044.3215567586;2422590.607775518;1794313.7192206837;1302929.8377785312;0;
28;2150222.2095;5.0;3079355.0165103297;2864423.3307642485;2302769.844464785;3175612.2987764203;2201261.6598858107;1707804.5958071756;3787898.2224348104;1578900.825363133;2402470.2709116978;0;
29;2479510.6214;5.0;3001800.224533215;3639824.2954696054;1015884.4599384813;3157276.20554002;3400468.828219554;1894259.2458883866;3947800.076790229;2566636.3056927924;2313206.798011185;0;
30;2428696.2196;5.0;3603074.0166060277;2467287.329626149;1484014.9807408927;2676914.390650772;2263367.2336196406;2676084.3949110606;2110061.0396804675;3402305.2159732794;1857558.3821214;0;
31;2666780.2704000003;5.0;3196163.9021015167;2061130.2890738526;2498128.462116723;2101381.7550001717;2205366.4859642508;3009858.6256867275;1358004.6317704758;3888608.677267886;1286347.1963424992;0;
32;2697891.6314;5.0;3433274.1693821433;2682106.6895325477;159818.24054850472;2973763.384023148;2642504.7878864342;1998755.3926885535;3073554.4154244;1205268.9643977778;2314228.528533142;0;
33;2770591.1985;5.0;2971492.0804536734;3767364.2312156265;995027.4945936876;3291010.684611311;3525691.5951944985;1296020.6768264743;4142679.81523866;1737547.4736097509;3202853.23672234;0;
34;3515624.5054;4.0;3200018.528519741;3246798.102015207;1518922.339327687;3081872.202594661;2973149.0555243236;2585897.948188042;3036308.74868708;2609623.9344548755;2290841.8286930257;0;
35;3238957.6182500008;4.0;3862120.4760911474;1850428.9216836048;3872256.4513227222;2967007.4443709627;764770.6714789999;3601357.4585529515;1216759.5662472052;3958490.6258189566;1296956.4770789645;0;
36;3280870.421;4.0;3451565.260770948;2825588.885338496;3594107.9754810086;3173423.0382411974;2898434.56088923;2126389.627744687;4362265.244858351;3732894.1519812066;2110301.937195639;0;
37;3610133.525;4.0;3070535.876454164;3311681.802473482;2426078.776905933;3831507.337415825;2816735.925268623;1112499.561709201;4911868.169797972;-1432324.6254241175;4275536.078506949;0;
38;3740435.3246666654;4.0;3394209.261121667;2743124.2986573004;2307154.439239451;3076301.626191489;2049692.03604536;2953317.8893025927;2711671.411440033;3437874.8208410246;2045201.6489675704;0;
39;2479101.2925;4.0;3091173.770050457;2873909.5283516767;2956142.4541279846;3220416.6495477883;2754231.0849665543;1688718.9602611007;4717264.085229218;3148112.8628598996;2311025.502722984;0;
40;4943168.6614999985;4.0;2980531.014726768;2560775.312635555;2865067.7805183013;3099864.952556313;2510482.120018227;3408025.277601921;2758137.151294933;3712872.036470796;2042686.3158820346;1;2510482.120018227
41;5751394.6685;4.0;2657466.2301727906;3184380.91130449;1771312.3939380269;4259859.16511117;2923143.3122756584;949505.1569514374;4953569.8155535795;-1489274.4471509445;4958060.382173839;1;2923143.3122756584
42;5304319.55325;4.0;3200442.601535385;2853524.0798941655;3207287.923313029;3182081.4675708106;2744283.138358794;1829229.5377779976;4563676.956464226;3471506.5414697197;2276171.963705264;1;2744283.138358794
43;5161790.076666667;5.0;3121020.4384854534;2338387.353361798;1942197.6208486971;3048956.9905510307;2058174.956813489;2934080.647898778;2846498.5180981257;3072292.7575991955;2262572.9173988933;1;2058174.956813489
44;4029753.9295;6.0;3746383.2676781774;1909090.9749016692;2353771.6360104494;3859562.0890137125;2621250.434589762;2377300.6665026215;3499195.236873646;2072100.4541139181;3905253.478441193;1;2621250.434589762
47;3116274.3141666665;6.0;2378660.499557914;2010457.1256851624;1323858.2150603787;1990529.590193067;3134450.104596004;1899981.5884553664;2178078.344320723;1415974.8852084049;3840493.2788212923;0;
48;3030106.3493333333;6.0;1952138.017500108;1883586.4025979405;1583172.3878307824;2073935.736457485;2900142.87806739;1858831.11502122;2159468.868142164;1660756.3157538685;3763996.1293661217;0;
49;3033622.923166666;6.0;1745756.132290173;3117121.826413044;1752051.0248618766;2252485.3879619776;2226638.363576625;1761819.406609774;2426048.262183558;1727819.1333981429;3522040.0782010807;0;
50;2746876.7732;5.0;1912546.284757178;2625275.6367272153;2268427.454513897;1642898.7369907245;2277300.893951005;2260978.6526510776;2329007.500329287;2085784.4105355518;3076625.2940068035;0;
51;2492250.675;5.0;2130914.3268432575;2951275.688305116;2089795.1715671998;1891105.1452632463;2494026.7672409914;2168253.8776637376;3012308.848141815;1717332.5626285784;3808196.0960781383;0;
52;2146359.7394000003;5.0;2786974.322377676;2308737.748697122;995160.1038380942;2756759.634481709;2891827.225206145;2485912.856695449;2401134.758181069;1713756.923660851;1749044.654466193;0;
53;2344189.199;5.0;3555884.990274472;1957710.8583544495;1286694.407308541;2865007.4590428784;1508128.6994490114;3073604.924874803;1553677.7294315605;1711571.1132884452;2193224.0526787075;0;
54;2486682.8208;5.0;3086176.691225738;2545566.3071066993;1753965.251445071;2912816.056373525;2377537.7686112416;1991676.13234893;2767194.819946256;1939640.766260377;2186441.1237150477;0;
55;2543387.397;5.0;3101277.860338204;2453316.936511674;1868830.8760471267;2767354.475179202;2384434.0889498317;2202604.906695656;2311899.492453258;3005819.2251275834;1871656.279917196;0;
56;2251092.205;5.0;2814007.8086542147;4115305.4761008457;853735.30351084;4068921.1577218347;3797899.4819765952;625261.72989879;4615351.303690381;-1343788.6286940738;4157809.8918988877;0;
57;2606379.1072;4.0;3290993.1194226965;3089123.4982799836;741350.3630009841;3093916.6832762565;2863238.7283134726;2477063.505554057;3338894.932663532;2003675.5855443748;2371602.739720628;0;
58;2309193.883;3.0;2677311.1781840706;4179880.0421289257;2246332.3765489706;4380153.630100872;3492804.6948393914;1962915.124023594;4871277.940957936;-683534.6553578399;4957888.8233718285;0;
59;1717399.8809999996;3.0;2341847.6680702255;3243725.4945016713;3291508.703453566;4753130.692011407;2942552.7052265117;803087.3355640174;4957196.248456964;-1536399.126209152;4958088.497797828;0;
60;1637662.6145;3.0;2525643.811260339;3241442.9954363983;3403880.3011067514;4963553.783380375;2870506.211180976;949250.561948723;4951039.504811249;-1472266.1590998494;4958035.889538422;0;
61;157378.074;3.0;3008581.2759720418;2970765.606293522;4348878.935459745;4798475.0016336525;2954962.7245966312;1047655.9918375823;4957681.697774496;147544.2467914529;4958088.459406984;-1;2970765.606293522
62;1399883.769;3.0;3423505.573528044;2970877.904245806;4962393.578744907;4478561.435135277;2999154.27611736;1752757.3441201027;4956787.03679738;683024.6028226721;4949162.648250664;0;
63;1460250.601;3.0;3920305.7261846554;2962205.7083173506;5106810.572010147;4541024.011425347;4662756.967803936;3024529.5622529876;4572917.456309938;3737454.465290227;1955304.6147220698;0;
64;8203270.477666666;3.0;3461877.153176954;2934033.9059396563;5034725.071868624;3706250.280253548;3618770.4227800397;2351703.9982485026;4777715.208319526;3309350.6610784717;2294674.637988601;1;3618770.4227800397
65;2659060.153;3.0;3918483.8564989693;2972162.7537334277;5124800.693537532;3675311.620044687;4623819.379995522;2964568.6113772024;4854364.254515835;2196422.8210115377;2300912.5507149184;0;
66;4947030.0405;3.0;3415231.6051018313;2970513.9512265776;4734106.10832737;4711759.470118252;2982344.170868739;1469814.4077767313;4957377.142815346;363573.62916646997;4958087.76304665;1;2982344.170868739
67;4774845.72;4.0;4169143.7448048564;3175750.7325660978;4854246.3206458315;4693855.481085337;4845996.754107781;3232373.8255025763;4636427.1983210035;2450885.4705299735;2207284.4630175587;2;3232373.8255025763
68;4782146.6219999995;4.0;2868714.5143077397;2581847.031136729;4692670.576136047;918044.9879814684;1938183.7343474545;4789404.5040611215;629233.4326011193;2310694.2346941666;224553.25557147968;1;1938183.7343474545
70;10755523.0485;5.0;2579215.0272434764;2419632.9391599777;4353089.500722199;-306720.58932377066;1435443.6821480098;4708543.386673626;-962463.0896516547;3015245.7886187425;-1048539.1943828083;1;1435443.6821480098
72;7152981.1134;6.0;2359789.207519645;2889742.5929494905;2578199.56576279;3426187.920965399;2630470.239812764;2572133.4309701775;2881172.9568919423;2000209.4019328135;3417323.1015124363;1;2630470.239812764
74;6161224.173500001;6.0;1852490.6776956022;2067441.7643557983;2145823.015467632;3103407.153092002;2167547.74876381;2200739.540615106;2841372.272837216;1829122.772014313;3406026.436143603;1;2167547.74876381
75;3701714.926333333;6.0;2102912.157938001;2212312.8986419844;1936041.1583673202;3228702.625374428;2190337.356794754;2007712.610573194;2920083.878677545;1352427.1843374518;3808097.960043578;0;
76;3133923.8888333333;6.0;2072842.8095442944;2232774.7150339927;1788865.852294041;3420403.8773555015;2189267.335139633;1858814.0669366259;2951067.5793729597;1309417.6702844326;3905222.274303185;0;
77;1306828.1958;4.0;2063065.83812789;2432981.877762979;1757936.3231632244;3847804.451425574;2257281.1096480777;1800501.426855644;3047159.955414946;1308293.1636886976;3905252.9530448224;0;
78;1838519.302;3.0;2424747.5206930623;3219231.6597793624;2120649.5199880525;3513590.197015274;2873821.3044497953;1681948.2852043312;3740728.4472151636;1316423.7056364648;3905253.449534408;0;
79;1108968.788;3.0;3503495.801829289;2346374.2387685357;3507786.474348906;2807117.377569322;1656793.2017157495;3001445.43061617;2507462.7244275;3164294.567405932;2229276.5927632283;0;
80;976727.8929999999;3.0;2698754.101208338;3888265.289222257;2779960.4342546817;3998202.893472716;3010296.8946094164;2276567.0655017737;4572967.24686922;2002636.6849807296;3598176.8058094177;-1;3888265.289222257
81;899703.9306666666;3.0;2692179.561663206;4041878.5758328796;2227230.090368836;5487637.660460678;3280884.370292127;1777016.3643110679;4883872.107262407;-975113.894441521;4956962.083778291;-2;2227230.090368836
82;978989.1056666665;3.0;2956120.4299377142;3998392.5329343253;1893827.3214418995;4677567.820429204;3479347.5581261013;2246178.9749671584;4853641.1172545515;-896693.03588293;4958087.176420651;-1;3998392.5329343253
83;1973510.102;3.0;2871685.079933793;4205808.854408963;2085178.0740386331;4835922.228130301;3760692.095861;2020115.0562464367;4891759.807550402;-915618.3236575407;4958050.292807848;0;
84;2837861.0075;3.0;2618228.759046573;2991831.080041609;4118465.6495754756;4471758.064424766;2898441.5780475694;1012073.4774266193;4947421.991904218;297823.2204090576;4957496.527565124;0;
85;2504282.0665;3.0;3018221.012546107;2956310.2520517115;4570269.554175148;4457245.336688198;2930308.5318095577;1268621.1791632;4942243.960053659;2276638.498127053;3475402.2182484725;0;
86;3800560.1056666663;4.0;2433042.396225641;3248736.014748229;1166106.5933178223;3764228.5301454635;2943715.6021081186;954369.9830877471;4954759.996802515;-1526676.884878773;4958088.495151918;0;
87;3054983.066;4.0;2434451.9951192006;3097660.146712509;3172155.126718269;2002490.9613757015;1534599.677646173;4144506.5871481267;-941989.1384528091;2772538.9337590034;-1043728.4659127765;0;
